Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"Arquitetura e a pedra: Um
ensaio sobre a virtualização
do espaço",2002,"Louzada, Bruno Casotti","Frizzera, Kleber Perini",,análise da perda de essencia na arquitetura atraves da arquitetura de hotéis,História e Teoria da Arquitetura e Urbanismo,Análise/ perda/ arquitetura/ hotel/ história,n/d
"Cidades artificiais e seu
legado arquitetônico e
urbanístico./",2005,"Louzada, Paola Bassani.","Campos, Martha
Machado.",,Projeto de uma cidade artificial (local imaginário),Projeto de urbanismo,Projeto/ cidade imaginária,n/d
"Proposta de Requalificação
Urbana em Vila Velha",2003,"Loyola, Loyce Maruf","Esteves, Milton Júnior",,Requalificação urbana do centro de vila velha,Projeto de urbanismo,Projeto/ urbano/ requalificação,Centro de Vila Velha
Acupuntura Urbana - Projeto de Humanização,2019,"Lubiana, Ester Guedes","Laranja, Andrea Coelho",,"Projeto urbano com análise de um local por meio do conceito de acupuntura urbana e humanização. Pontal de Camburi, Próximo ao canal",Projeto de urbanismo,Projeto/ análise/ acupuntura urbano,Pontal de Camburi
"A força do lugar na
arquitetura brasileira :
ensaio a partir da revista
projeto.",2015,"Lubiana, Natália","Almeida,
Renata Hermanny de",,,,,
"Arquitetura: espaços dos
sentidos",2007,"Lucas, Ana Eliza Aurélio","Miranda, Clara Luiza",,Análise da arquitetura através dos sentidos,História e Teoria da Arquitetura e Urbanismo,Análise/ arquitetura/ fenomenologia,n/d
"Casa Refúgio para uma
família",2014,"Lucas, Thiara Pelissari","Kaser, karla do Carmo","Dalvi, Márcia Bissoli",projeto residencial unifamiliar em manguinhos,Projeto de arquitetura,Projeto/ residência,Manguinhos
"Serra: uma proposta para
rede verde. ",2015,"Luchi, Ana Luzia Rocon.","Caser, Karla",,requalificação dos espaços livres dos bairros parque de jacaraipe e são patricio. Ponto sustentabilidade),Projeto de urbanismo,Projeto/ requalificação/ espaço/ urbano/ sustentabilidade,Parque Jacaraípe
"Vivência com qualidade no
entorno de habitações de
interesse social.",2017,"Lugão, Layra Ramos","Almeida, Lutero Pröscholdt",,"Projeto de habitação de interesse social focando no entorno, (vista dourada cariacica)",Projeto de paisagismo,Projeto/ paisagismo/ interesse social/ residência,Vista Dourada
"Nova sede do Instituto Luiz
Braille do Espírito Santo",2016,"Macedo, Aline Simonassi","Andrade, Tarcísio Bahia de","Alvarenga,
Augusto",Proj de sede do Instituto Luiz Braille. Projeto acessivel. Bento ferreira,Projeto de arquitetura,Projeto/ Instituto Luiz Braille/ Acessibilidade,Bento Ferreira
Margear : o meio como fim,2014,"Macedo, Sheila Cristina
Krüger","Esteves, Milton",,Deriva conceitual Rio aribiri,História e Teoria da Arquitetura e Urbanismo,Ensaio/ orla/ urbano/ rio,Rio Aribiri
"Conceição da barra :
passado, presente...futuro.",2004,"Machado, Ana Carolina dos
Santos.","Abe, André",,Intervenção urbana no cais do porto de conceição da barra,Projeto de urbanismo,Projeto/ requalificação/ orla/ cais/ porto,Conceição da Barra
"Projeto terra: Uma nova
proposta para as unidades
habitacionais da poligonal",2002,"Machado, Claudia
Campagnaro","Alvarez,
Cristina Engel,",,Projeto urbanistico e habitação social. Andorinha Santa Marta e Joana Darq,Projeto de urbanismo,Projeto/ urbanismo/ interesse social/ residência,Andorinhas
